"ID_STAZ","DATARIL","VALORE"
"747","2020-07-03 10:00:00.0","31.90"
"747","2020-07-03 09:00:00.0","29.40"
"747","2020-07-03 08:00:00.0","25.70"
"747","2020-07-03 07:00:00.0","22.00"
"747","2020-07-03 06:00:00.0","18.90"
"747","2020-07-03 05:00:00.0","18.10"
"747","2020-07-03 04:00:00.0","18.50"
"747","2020-07-03 03:00:00.0","18.90"
"747","2020-07-03 02:00:00.0","19.60"
"747","2020-07-03 01:00:00.0","20.50"
"747","2020-07-03 00:00:00.0","21.00"
"1386","2020-07-03 23:00:00.0","20.80"
"1386","2020-07-03 22:00:00.0","22.20"
"1386","2020-07-03 21:00:00.0","21.90"
"1386","2020-07-03 20:00:00.0","21.80"
"1386","2020-07-03 19:00:00.0","23.00"
"1386","2020-07-03 18:00:00.0","26.60"
"1386","2020-07-03 17:00:00.0","28.20"
"1386","2020-07-03 16:00:00.0","29.30"
"1386","2020-07-03 15:00:00.0","29.50"
"1386","2020-07-03 14:00:00.0","30.20"
"1386","2020-07-03 13:00:00.0","31.20"
"1386","2020-07-03 12:00:00.0","31.00"
"1386","2020-07-03 11:00:00.0","30.00"
"1386","2020-07-03 10:00:00.0","28.80"
"1386","2020-07-03 09:00:00.0","27.10"
"1386","2020-07-03 08:00:00.0","26.80"
"1386","2020-07-03 07:00:00.0","26.40"
"1386","2020-07-03 06:00:00.0","26.10"
"1386","2020-07-03 05:00:00.0","22.50"
"1386","2020-07-03 04:00:00.0","21.50"
"1386","2020-07-03 03:00:00.0","21.40"
"1386","2020-07-03 02:00:00.0","20.80"
"1386","2020-07-03 01:00:00.0","20.40"
"1386","2020-07-03 00:00:00.0","21.10"
"1385","2020-07-03 23:00:00.0","24.10"
"1385","2020-07-03 22:00:00.0","24.50"
"1385","2020-07-03 21:00:00.0","24.70"
"1385","2020-07-03 20:00:00.0","25.30"
"1385","2020-07-03 19:00:00.0","26.70"
"1385","2020-07-03 18:00:00.0","28.80"
"1385","2020-07-03 17:00:00.0","30.50"
"1385","2020-07-03 16:00:00.0","32.00"
"1385","2020-07-03 15:00:00.0","33.10"
"1385","2020-07-03 14:00:00.0","34.10"
"1385","2020-07-03 13:00:00.0","34.30"
"1385","2020-07-03 12:00:00.0","34.40"
"1385","2020-07-03 11:00:00.0","33.50"
"1385","2020-07-03 10:00:00.0","32.40"
"1385","2020-07-03 09:00:00.0","31.90"
"1385","2020-07-03 08:00:00.0","29.60"
"1385","2020-07-03 07:00:00.0","28.30"
"1385","2020-07-03 06:00:00.0","25.50"
